Tweet Text,Clean Tweet Text,Label,Tweet ID,Type,Author Name,Author Username,Creation Time,Reply Count,Retweet Count,Quote Count,Like Count,View Count,Bookmark Count,Language,Possibly Sensitive,Source,Hashtags,Tweet URL,Media Type,Media URLs,External URLs
"Praying for those still threatened by Helene aftermath. Many still in danger in western NC. @WNGdotorg headquarters in Biltmore Village, Asheville, totally surrounded by floods.",praying for those still threatened by helene aftermath many still in danger in western nc wngdotorg headquarters in biltmore village asheville totally surrounded by floods,0,1840163589094813784,Tweet,Albert Mohler,albertmohler,"9/28/2024, 3:56:02 PM",4,7,1,78,8954,3,en,No,helene,,https://x.com/albertmohler/status/1840163589094813784,,,
The current response to Helene feels like Bush's response to Katrina,the current response to helene feels like bushs response to katrina,0,1840146663148523577,Tweet,John Robb,johnrobb,"9/28/2024, 2:48:47 PM",86,140,13,804,59023,18,en,No,helene,,https://x.com/johnrobb/status/1840146663148523577,,,
"Hurricane Helene, one of the most intense storms to hit the Southeast in years, has tragically claimed 52 lives and damaged thousands of households, leaving a trail of destruction. We are relieved that Propy employees in St. Pete, along with many of our clients, are safe and were",hurricane helene one of the most intense storms to hit the southeast in years has tragically claimed 52 lives and damaged thousands of households leaving a trail of destruction we are relieved that propy employees in st pete along with many of our clients are safe and were,0,1840144148537717097,Tweet,Natalia Karayaneva,NataliePropy,"9/28/2024, 2:38:47 PM",6,4,0,26,1920,0,en,No,helene,,https://x.com/NataliePropy/status/1840144148537717097,,,
"So…..little problem from HQ. We got hit pretty hard by Helene. Most of our men are still without power and internet. The release of Week 4 will have to wait until a time to be determined. Thanks for your patience, prayers, and understanding as we pick ourselves up from this.",so…little problem from hq we got hit pretty hard by helene most of our men are still without power and internet the release of week 4 will have to wait until a time to be determined thanks for your patience prayers and understanding as we pick ourselves up from this,1,1840132945618571548,Tweet,F3Nation-IronPax,F3IronPax,"9/28/2024, 1:54:16 PM",7,2,1,70,2839,0,en,No,helene,,https://x.com/F3IronPax/status/1840132945618571548,,,
Absolutely heartbroken for everyone impacted by Hurricane Helene. Especially my folks in Western North Carolina. Me and my team have been making some calls and I think we’ve got something really special lined up to help the Carolinas as much as we can. More details to come ASAP.,absolutely heartbroken for everyone impacted by hurricane helene especially my folks in western north carolina me and my team have been making some calls and i think we’ve got something really special lined up to help the carolinas as much as we can more details to come asap,0,1840098020622311650,Tweet,Luke Combs 🎤,lukecombs,"9/28/2024, 11:35:30 AM",415,2710,143,29645,1541507,228,en,No,helene,,https://x.com/lukecombs/status/1840098020622311650,,,
"You can help #Helene victims in High Country, North Carolina, through donating to or volunteering with @SamaritansPurse. No experience needed. Link below.",you can help helene victims in high country north carolina through donating to or volunteering with samaritanspurse no experience needed link below,0,1840179062079394277,Tweet,CarolinaGirl👶🐾,CarolinaBlessd,"9/28/2024, 4:57:31 PM",1,15,0,20,570,0,en,No,helene,#Helene,https://x.com/CarolinaBlessd/status/1840179062079394277,,,
"The home and town of my heart has been shattered, in many ways permanently, after hurricane Helene. It’s been uplifting to see the community come together and start rebuilding. 

Never forget how quickly you can lose it all and stay in gratitude 💔❤️",the home and town of my heart has been shattered in many ways permanently after hurricane helene it’s been uplifting to see the community come together and start rebuilding never forget how quickly you can lose it all and stay in gratitude 💔❤️,1,1840126106969461078,Tweet,VV is 💫💫 AGENTED 💫💫,author_VV,"9/28/2024, 1:27:06 PM",9,0,1,41,1779,0,en,No,helene,,https://x.com/author_VV/status/1840126106969461078,,,
If tax doesn't work out I may have a second career with the FBI. Here's my week so far. Brother and SIL are moving to Raleigh from Houston. They decided to stay at an Airbnb in Asheville while waiting for their stuff. I recommended they leave early cause of Helene. 1/?,if tax doesnt work out i may have a second career with the fbi heres my week so far brother and sil are moving to raleigh from houston they decided to stay at an airbnb in asheville while waiting for their stuff i recommended they leave early cause of helene 1,0,1840176760148873565,Tweet,Sarah M EA,smoess18,"9/28/2024, 4:48:23 PM",5,0,0,29,8035,1,en,No,helene,,https://x.com/smoess18/status/1840176760148873565,,,
"7pm update

Duke Update:

As of 1 p.m. on Saturday, Duke Energy has restored power to 723,000 Carolinas customers impacted by Helene. This includes more than 544,000 customers in North Carolina and 178,000 in South Carolina.

Approximately 1.1 million customers – 539,000 in North",7pm update duke update as of 1 pm on saturday duke energy has restored power to 723000 carolinas customers impacted by helene this includes more than 544000 customers in north carolina and 178000 in south carolina approximately 11 million customers – 539000 in north,0,1840161687539716595,Tweet,Rep. Neal Collins,collins_neal,"9/28/2024, 3:48:29 PM",3,5,1,24,5490,1,en,No,helene,,https://x.com/collins_neal/status/1840161687539716595,,,
Just learned that 40% of SC is without power and won’t have restored for days. It has the largest electrical failure so far of all 6 states involved. We as a country are not realizing how #Helene tore the southeast a new one,just learned that 40 of sc is without power and won’t have restored for days it has the largest electrical failure so far of all 6 states involved we as a country are not realizing how helene tore the southeast a new one,0,1840159299097825505,Tweet,Private Citizen,Sumthinlike_wat,"9/28/2024, 3:39:00 PM",1,5,0,23,580,0,en,No,helene,#Helene,https://x.com/Sumthinlike_wat/status/1840159299097825505,,,
